Representative ACT-Guided prompts used in ACT-ChatGPT aligned with the six core ACT Processes		,,
,,
Core Process,Theme,Prompt Content
,,"Provide three questions to guide me through the “Passengers on the Bus” exercise, helping me identify the “passengers” (thoughts) that arise during my life reconstruction after spinal cord injury. (Answer within 100 words)"
,,"Based on my responses today, do you think I now better understand cognitive defusion? How should I apply it in the future? (Answer within 80 words)"
3. Contact with the Present Moment: Engaging with and observing present-moment experiences in a non-judgmental manner.,Leaves on a Stream,Please use an example to explain what “contact with the present moment” means in ACT. (Answer within 100 words)
,,Please explain the “Leaves on a Stream” exercise used in ACT for practicing contact with the present moment. (Answer within 100 words)
,,Provide two questions to guide me through practicing the “Leaves on a Stream” exercise. (Within 100 words)
,"Past, Present, and Future","Using questions, guide me through ACT’s “past–present–future” exercise. (Within 100 words)"
,,"How can I remind myself, during life training after spinal cord injury, to stay focused on the present moment rather than on past pain or worries about the future? (Within 5 lines)"
"4. Self-as-Context: Recognizing one’s own experiences while maintaining an objective stance, without becoming fused with or attached to them.",Observing the Self,"Using the ACT chessboard metaphor, explain how to observe the self. (Within 5 lines)"
,,How can I identify my strengths and apply positive labels to myself? Guide my thinking using questions. (Within 50 words)
,,"Building on the previous response, provide two questions that help me view myself—with positive labels—from an “observer perspective.” (Within 4 lines)"
,,Provide two questions that guide me to examine my weaknesses and apply negative labels to myself. (Within 2 lines)
,,"Building on the negative-label response, provide two questions that help me view myself—with negative labels—from an “observer perspective.” (Within 4 lines)"
,,What is the purpose of using positive and negative labels to “observe the self”? (Within 100 words)
,,Please summarize my responses today and evaluate whether I have gained a basic understanding of contact with the present moment and observing the self. (Within 5 lines)
5. Values: Choosing to live according to personally meaningful values rather than avoiding experiences.,Attending Your Own Funeral,Tell me how the “Attending Your Own Funeral” metaphor in ACT can help a person discover their values. (Answer within 150 words)
,,Provide three questions that guide me to clarify my values through the “Attending Your Own Funeral” metaphor. (Answer within 100 words)
,Values Exploration,"Briefly describe the value domains of: (1) Marriage/Partnership/Intimate Relationships, (2) Family Relationships, (3) Friendship/Social Connections, (4) Career/Work, and (5) Personal Growth and Development. (Each within 50 words)"
,,"Draw a line after each of the above value domains so I can rank them in importance, with 1 being most important and 5 being least important."
,,Ask specific questions that help me explain why I chose the top two most important values and assess whether my current behaviors align with these values. (Answer within 100 words)
,What If No One Knows?,Explain the ACT values-based question: “What if no one could know?” (Within 50 words)
,,"Based on the values I mentioned today, list two questions that help me reflect on the meaning of “What if no one could know?” (Within 50 words)"
,,"Based on my responses today, summarize whether my values have become clearer and provide actionable recommendations for moving forward. (Within 100 words)"
6. Committed Action: Developing goals and strategies based on one’s values and consistently engaging in behavior change that supports a valued life.,Goal Setting,My value is ______ (please fill in). I want to develop a long-term goal based on this value. Please ask questions that guide my thinking. (Within 50 words)
,,I want to set a short-term goal. Please ask questions that guide my thinking. (Within 50 words)
,Predicting Difficulties in Goal Achievement,Please explain the ACT metaphor of the “Winding Path” to help me anticipate obstacles that may arise during committed action. (Within 100 words)
,,"Based on the goals I just mentioned, provide two questions that help me consider the possible obstacles, resistance, or thoughts that may arise while pursuing these goals. (Within 100 words)"
,,Please give me some suggestions on how to overcome these obstacles. (Within 100 words)
,Breaking Patterns,Provide a concrete example explaining the concept of “breaking dysfunctional patterns” in Acceptance and Commitment Therapy. (Within 80 words)
,,Provide two questions to guide me in identifying past experiences in which I broke such patterns. (Within 80 words)
,,"Based on my past pattern-breaking experiences, what suggestions do you have for helping me avoid repeating old patterns? (Within 100 words)"
,,"Based on my responses today, do you think I am ready to take committed action aligned with my values? (Within 100 words)"
